date,house_size,bed,bath,price,broker,street,city,state_name,zip_code
"AUG 29, 2024","2,768 sqft (on 0.31 acres)",5bd,5bd,"$586,000","Keller Williams Infinity, Closed",774 Wintergreen Ct, Aurora,Illinois,60504
"AUG 29, 2024","1,590 sqft",3bd,3bd,"$355,000","DNV Solutions LLC, Closed",2345 Dogwood Ln, Aurora,Illinois,60504
"AUG 29, 2024",800 sqft,2bd,2bd,"$190,000","Fathom Realty IL LLC, Closed",5300 Walnut Ave #22B, Downers Grove,Illinois,60515
"AUG 29, 2024","2,058 sqft",4bd,4bd,"$577,000","eXp Realty, LLC, Closed",6420 Briarcliff Ct, Lisle,Illinois,60532
"AUG 29, 2024","3,842 sqft (on 0.28 acres)",4bd,4bd,"$591,500","Berkshire Hathaway HomeServices Chicago, Closed",1608 Hedg Ct, Naperville,Illinois,60565
"AUG 29, 2024","2,617 sqft (on 0.37 acres)",4bd,4bd,"$700,000","RE/MAX of Naperville, Closed",900 Hidden Lake Rd, Naperville,Illinois,60565
"AUG 29, 2024","1,150 sqft",2bd,2bd,"$190,000","Coldwell Banker Realty, Closed",4224 Saratoga Ave #J304, Downers Grove,Illinois,60515
"AUG 29, 2024","3,134 sqft",5bd,5bd,"$1,000,000","@properties Christie's International Real Estate, Closed",119 Iroquois Dr, Clarendon Hills,Illinois,60514
"AUG 29, 2024","4,928 sqft",4bd,4bd,"$1,375,000","Compass, Closed",301 E  59th St, Hinsdale,Illinois,60521
"AUG 29, 2024","2,800 sqft (on 0.57 acres)",3bd,3bd,"$520,000","Coldwell Banker Realty, Closed",Address Not Disclosed, Willowbrook,Illinois,60527
"AUG 29, 2024","2,146 sqft",4bd,4bd,"$462,000","Compass, Closed",6500 Lyman Ave, Downers Grove,Illinois,60516
"AUG 29, 2024","1,480 sqft",3bd,3bd,"$305,000","Kale Realty, Closed",7200 S  Adams St #D, Willowbrook,Illinois,60527
"AUG 29, 2024","1,340 sqft",3bd,3bd,"$260,000","@properties Christie's International Real Estate, Closed",302 N  6th St, West Dundee,Illinois,60118
"AUG 29, 2024","3,232 sqft (on 1.01 acres)",4bd,4bd,"$525,000","@properties Christie's International Real Estate, Closed",38W644 Arrowmaker Pass, Elgin,Illinois,60124
"AUG 29, 2024","1,064 sqft (on 0.30 acres)",3bd,3bd,"$320,000","Keller Williams Inspire - Geneva, Closed",194 S  East Ave, South Elgin,Illinois,60177
