date,bed,bath,price,broker,street,city,state_name,zip_code,house_sqft
2024-08-26,3.0,3.0,168000.0,ERA American Real Estate,2230 El Dorado Ct, Navarre,Florida,32566,936.0
2024-08-26,3.0,3.0,285000.0,"Core on the Coast, LLC",460 Bluff Rd, Apalachicola,Florida,32320,1404.0
2024-08-26,3.0,3.0,442016.0,Golden Properties & Investment,430 Royal Tern Way, Lanark Village,Florida,32323,1864.0
2024-08-26,3.0,3.0,510000.0,Unknown,217 Middleburg Dr, Panama City Beach,Florida,32413,2168.0
2024-08-26,4.0,4.0,140000.0,Unknown,6342 Omoko St, Panama City,Florida,32404,1764.0
2024-08-26,5.0,5.0,410000.0,CENTURY 21 AMERISOUTH REALTY,5016 Wheeler Way, Pensacola,Florida,32526,2582.0
2024-08-26,4.0,4.0,2625000.0,The Premier Property Group Seacrest Office,30 Clove Hitch Ln, Santa Rosa Beach,Florida,32459,3130.0
2024-08-26,6.0,6.0,12750000.0,Compass,8570 E  County Highway 30A, Inlet Beach,Florida,32461,7650.0
2024-08-26,3.0,3.0,625000.0,Redfin,3711 Scenic Hwy, Pensacola,Florida,32504,3132.0
2024-08-26,3.0,3.0,496900.0,"Coastwise Realty, Inc.",3468 Firefly Cir, Saint Teresa,Florida,32358,1514.0
2024-08-26,3.0,3.0,218000.0,Coldwell Banker Hartung,74 Deanna Green Ln, Midway,Florida,32343,1661.0
2024-08-26,4.0,4.0,299900.0,DR Horton Realty of Northwest Florida LLC,424 Scarborough St, Crestview,Florida,32539,1387.0
2024-08-26,3.0,3.0,304400.0,"ADAMS HOMES REALTY, INC",4940 Muldoon Pointe Rd #16A, Pensacola,Florida,32526,1648.0
2024-08-23,4.0,4.0,525500.0,Unknown,901 Laurel Oak Ln, Panama City Beach,Florida,32408,2307.0
2024-08-23,3.0,3.0,192000.0,Unknown,6454 Summer Oak Dr, Panama City Beach,Florida,32408,1248.0
2024-08-23,4.0,4.0,645000.0,Unknown,131 Palm Crossing Blvd, Panama City Beach,Florida,32408,2359.0
2024-08-23,4.0,4.0,380000.0,Unknown,3620 Oakwood Ct, Panama City Beach,Florida,32408,1826.0
2024-08-23,3.0,3.0,445000.0,Beachy Beach Real Estate,4318 Legend Pl #20, Panama City Beach,Florida,32408,1503.0
2024-08-23,3.0,3.0,408000.0,Unknown,336 Gardenia St, Panama City Beach,Florida,32407,1320.0
2024-08-23,2.0,2.0,330000.0,Unknown,520 Richard Jackson Blvd #612, Panama City Beach,Florida,32407,1019.0
